"decimalLongitude","decimalLatitude","dsp","PA1"
-44.2916666666667,-0.875,1,TRUE
-38.375,-3.625,1,TRUE
-32.375,-3.79166666666666,1,TRUE
-32.4583333333333,-3.875,1,TRUE
-35.2916666666667,-5.375,1,TRUE
-34.7916666666667,-6.70833333333333,1,TRUE
-34.7916666666667,-7.125,1,TRUE
-35.125,-8.79166666666666,1,TRUE
-35.2083333333333,-9.04166666666666,1,TRUE
-38.625,-12.7083333333333,1,TRUE
-38.625,-12.7916666666667,1,TRUE
-38.5416666666667,-12.7916666666667,1,TRUE
-38.625,-12.875,1,TRUE
-38.5416666666667,-12.875,1,TRUE
-38.5416666666667,-12.9583333333333,1,TRUE
-38.7083333333333,-13.125,1,TRUE
-38.625,-13.125,1,TRUE
-38.9583333333333,-13.5416666666667,1,TRUE
-38.9583333333333,-16.375,1,TRUE
-39.0416666666667,-16.4583333333333,1,TRUE
-38.9583333333333,-16.4583333333333,1,TRUE
-39.0416666666667,-16.875,1,TRUE
-39.125,-16.9583333333333,1,TRUE
-39.0416666666667,-16.9583333333333,1,TRUE
-39.125,-17.0416666666667,1,TRUE
-36.7916666666667,-17.125,1,TRUE
-38.875,-17.375,1,TRUE
-39.125,-17.4583333333333,1,TRUE
-39.0416666666667,-17.4583333333333,1,TRUE
-38.9583333333333,-17.4583333333333,1,TRUE
-39.0416666666667,-17.5416666666667,1,TRUE
-39.0416666666667,-17.625,1,TRUE
-39.0416666666667,-17.7083333333333,1,TRUE
-38.9583333333333,-17.7083333333333,1,TRUE
-38.625,-17.7083333333333,1,TRUE
-39.0416666666667,-17.7916666666667,1,TRUE
-38.9583333333333,-17.7916666666667,1,TRUE
-39.125,-17.875,1,TRUE
-38.9583333333333,-17.875,1,TRUE
-38.7083333333333,-17.875,1,TRUE
-39.2916666666667,-17.9583333333333,1,TRUE
-39.2083333333333,-17.9583333333333,1,TRUE
-38.9583333333333,-17.9583333333333,1,TRUE
-38.7916666666667,-17.9583333333333,1,TRUE
-38.7083333333333,-17.9583333333333,1,TRUE
-38.625,-17.9583333333333,1,TRUE
-39.4583333333333,-18.0416666666667,1,TRUE
-39.0416666666667,-18.0416666666667,1,TRUE
-38.9583333333333,-18.0416666666667,1,TRUE
-38.7083333333333,-18.0416666666667,1,TRUE
-38.625,-18.0416666666667,1,TRUE
-38.625,-18.125,1,TRUE
-37.875,-18.625,1,TRUE
-35.875,-20.5416666666667,1,TRUE
-29.2916666666667,-20.5416666666667,1,TRUE
-40.375,-20.625,1,TRUE
-40.5416666666667,-20.7083333333333,1,TRUE
-40.375,-20.7083333333333,1,TRUE
-33.625,-20.875,1,TRUE
-41.875,-22.7083333333333,1,TRUE
-41.875,-22.7916666666667,1,TRUE
-44.375,-22.9583333333333,1,TRUE
-42.0416666666667,-22.9583333333333,1,TRUE
-41.9583333333333,-22.9583333333333,1,TRUE
-44.625,-23.0416666666667,1,TRUE
-44.5416666666667,-23.0416666666667,1,TRUE
-44.4583333333333,-23.0416666666667,1,TRUE
-44.375,-23.0416666666667,1,TRUE
-44.2916666666667,-23.0416666666667,1,TRUE
-44.2083333333333,-23.0416666666667,1,TRUE
-44.125,-23.0416666666667,1,TRUE
-44.5416666666667,-23.125,1,TRUE
-44.2916666666667,-23.125,1,TRUE
-44.2083333333333,-23.125,1,TRUE
-44.125,-23.125,1,TRUE
-44.7083333333333,-23.2083333333333,1,TRUE
-44.625,-23.2083333333333,1,TRUE
-44.5416666666667,-23.2083333333333,1,TRUE
-44.375,-23.2083333333333,1,TRUE
-44.125,-23.2083333333333,1,TRUE
-44.625,-23.2916666666667,1,TRUE
-44.5416666666667,-23.2916666666667,1,TRUE
-44.2083333333333,-23.2916666666667,1,TRUE
-45.2083333333333,-23.5416666666667,1,TRUE
-45.125,-23.5416666666667,1,TRUE
-44.9583333333333,-23.5416666666667,1,TRUE
-45.4583333333333,-23.7916666666667,1,TRUE
-45.375,-23.7916666666667,1,TRUE
-45.125,-23.7916666666667,1,TRUE
-44.9583333333333,-23.7916666666667,1,TRUE
-45.2083333333333,-23.875,1,TRUE
-45.625,-23.9583333333333,1,TRUE
-46.375,-24.0416666666667,1,TRUE
-45.7083333333333,-24.125,1,TRUE
-46.2083333333333,-24.2916666666667,1,TRUE
-32.375,-3.875,0,TRUE
-35.125,-5.54166666666666,0,TRUE
-35.0416666666667,-5.54166666666666,0,TRUE
-35.2083333333333,-8.95833333333333,0,TRUE
-38.5416666666667,-13.0416666666667,0,TRUE
-45.2916666666667,-23.9583333333333,0,TRUE
-48.375,-27.2916666666667,0,TRUE
-48.2916666666667,-27.2916666666667,0,TRUE
-48.375,-27.625,0,TRUE
-45.5416666666667,0.125,NA,TRUE
-48.9583333333333,-30.7083333333333,NA,TRUE
-52.2083333333333,6.20833333333334,NA,TRUE
-60.0416666666667,9.45833333333334,NA,TRUE
-55.125,6.79166666666667,NA,TRUE
-50.7083333333333,-30.7916666666667,NA,TRUE
-51.375,5.54166666666667,NA,TRUE
-57.5416666666667,-38.125,NA,TRUE
-52.4583333333333,-33.5416666666667,NA,TRUE
-57.875,7.95833333333334,NA,TRUE
-55.125,-35.875,NA,TRUE
-55.2083333333333,-35.7916666666667,NA,TRUE
-47.2916666666667,-25.2083333333333,NA,TRUE
-49.875,-31.5416666666667,NA,TRUE
-61.7916666666667,-41.375,NA,TRUE
-46.7083333333333,0.541666666666671,NA,TRUE
-39.375,-18.7916666666667,NA,TRUE
-56.375,-36.125,NA,TRUE
-51.0416666666667,4.45833333333334,NA,TRUE
-59.0416666666667,8.04166666666667,NA,TRUE
-59.7083333333333,8.875,NA,TRUE
-43.375,-23.2916666666667,NA,TRUE
-42.625,-1.95833333333333,NA,TRUE
-63.9583333333333,-41.625,NA,TRUE
-58.2083333333333,-41.9583333333333,NA,TRUE
-61.4583333333333,-40.4583333333333,NA,TRUE
-60.875,-39.625,NA,TRUE
-57.4583333333333,-40.4583333333333,NA,TRUE
-54.2916666666667,6.79166666666667,NA,TRUE
-51.7916666666667,5.875,NA,TRUE
-62.625,-41.7916666666667,NA,TRUE
-56.7083333333333,6.95833333333334,NA,TRUE
-46.625,0.125,NA,TRUE
-58.5416666666667,6.70833333333334,NA,TRUE
-50.375,2.125,NA,TRUE
-58.7083333333333,-41.7916666666667,NA,TRUE
-59.9583333333333,-40.7916666666667,NA,TRUE
-48.2083333333333,-0.291666666666664,NA,TRUE
-47.125,0.958333333333336,NA,TRUE
-49.2916666666667,-29.625,NA,TRUE
-49.9583333333333,2.70833333333334,NA,TRUE
-47.9583333333333,0.541666666666671,NA,TRUE
-52.2083333333333,-32.625,NA,TRUE
-55.875,-35.2083333333333,NA,TRUE
-51.2083333333333,-31.625,NA,TRUE
-46.625,-0.208333333333329,NA,TRUE
-56.875,-40.2916666666667,NA,TRUE
-57.7916666666667,-40.875,NA,TRUE
-50.2916666666667,-31.125,NA,TRUE
-60.7916666666667,-41.2083333333333,NA,TRUE
-59.7083333333333,-39.625,NA,TRUE
-44.375,-1.625,NA,TRUE
-54.2083333333333,-36.4583333333333,NA,TRUE
-42.7083333333333,-23.5416666666667,NA,TRUE
-50.7083333333333,-30.625,NA,TRUE
-55.375,6.04166666666667,NA,TRUE
-45.4583333333333,0.125,NA,TRUE
-43.7916666666667,-2.20833333333333,NA,TRUE
-50.7083333333333,-32.7083333333333,NA,TRUE
-61.2083333333333,-40.7083333333333,NA,TRUE
-55.625,-36.4583333333333,NA,TRUE
-59.9583333333333,9.125,NA,TRUE
-53.4583333333333,7.29166666666667,NA,TRUE
-49.0416666666667,-30.625,NA,TRUE
-38.375,-19.875,NA,TRUE
-59.0416666666667,-42.2083333333333,NA,TRUE
-45.2916666666667,-1.625,NA,TRUE
-56.0416666666667,-37.875,NA,TRUE
-60.2916666666667,8.875,NA,TRUE
-56.7916666666667,-37.9583333333333,NA,TRUE
-37.7083333333333,-3.70833333333333,NA,TRUE
-55.875,-36.625,NA,TRUE
-54.0416666666667,-36.125,NA,TRUE
-57.7916666666667,-41.0416666666667,NA,TRUE
-52.2916666666667,-33.5416666666667,NA,TRUE
-58.0416666666667,-39.375,NA,TRUE
-41.7083333333333,-2.45833333333333,NA,TRUE
-48.9583333333333,1.95833333333334,NA,TRUE
-49.125,3.125,NA,TRUE
-55.5416666666667,6.95833333333334,NA,TRUE
-43.2083333333333,-23.0416666666667,NA,TRUE
-54.2083333333333,-36.0416666666667,NA,TRUE
-60.7916666666667,-39.125,NA,TRUE
-41.2083333333333,-2.70833333333333,NA,TRUE
-56.125,-36.875,NA,TRUE
-63.9583333333333,-41.5416666666667,NA,TRUE
-49.7083333333333,1.04166666666667,NA,TRUE
-54.5416666666667,-35.2916666666667,NA,TRUE
-36.2916666666667,-5.04166666666666,NA,TRUE
-53.2083333333333,-34.4583333333333,NA,TRUE
-61.4583333333333,-41.625,NA,TRUE
-52.875,-34.5416666666667,NA,TRUE
-57.875,-40.125,NA,TRUE
-63.625,-42.375,NA,TRUE
-62.125,-42.4583333333333,NA,TRUE
-60.5416666666667,-39.9583333333333,NA,TRUE
-51.7083333333333,5.95833333333334,NA,TRUE
-40.2916666666667,-21.2083333333333,NA,TRUE
-36.0416666666667,-17.875,NA,TRUE
-46.5416666666667,-0.375,NA,TRUE
-53.5416666666667,7.04166666666667,NA,TRUE
-47.7083333333333,-28.7083333333333,NA,TRUE
-60.5416666666667,9.45833333333334,NA,TRUE
-59.2083333333333,8.95833333333334,NA,TRUE
-39.2083333333333,-2.70833333333333,NA,TRUE
-58.5416666666667,7.875,NA,TRUE
-54.2916666666667,7.45833333333334,NA,TRUE
-55.7083333333333,6.875,NA,TRUE
-47.9583333333333,2.79166666666667,NA,TRUE
-37.0416666666667,-4.54166666666666,NA,TRUE
-64.2083333333333,-41.5416666666667,NA,TRUE
-51.375,-33.7916666666667,NA,TRUE
-56.7916666666667,-39.625,NA,TRUE
-57.7916666666667,7.70833333333334,NA,TRUE
-60.125,-42.125,NA,TRUE
-64.7916666666667,-41.7916666666667,NA,TRUE
-57.2083333333333,-39.2083333333333,NA,TRUE
-57.2083333333333,-37.875,NA,TRUE
-63.0416666666667,-41.4583333333333,NA,TRUE
-56.125,-37.2083333333333,NA,TRUE
-61.5416666666667,9.95833333333334,NA,TRUE
-52.0416666666667,-31.625,NA,TRUE
-57.4583333333333,-37.9583333333333,NA,TRUE
-53.7916666666667,7.125,NA,TRUE
-40.125,-22.0416666666667,NA,TRUE
-51.375,-30.7083333333333,NA,TRUE
-48.4583333333333,-25.4583333333333,NA,TRUE
-58.0416666666667,-34.4583333333333,NA,TRUE
-52.9583333333333,-34.5416666666667,NA,TRUE
-56.7083333333333,-36.7083333333333,NA,TRUE
-58.7083333333333,-39.7083333333333,NA,TRUE
-44.2083333333333,-2.04166666666666,NA,TRUE
-55.9583333333333,-38.375,NA,TRUE
-49.0416666666667,2.70833333333334,NA,TRUE
-48.875,-0.125,NA,TRUE
-48.2083333333333,-29.4583333333333,NA,TRUE
-50.125,3.29166666666667,NA,TRUE
-58.7083333333333,-38.7916666666667,NA,TRUE
-49.5416666666667,2.125,NA,TRUE
-59.625,-41.875,NA,TRUE
-59.125,-38.7916666666667,NA,TRUE
-45.375,0.375,NA,TRUE
-48.9583333333333,-30.125,NA,TRUE
-62.625,10.2083333333333,NA,TRUE
-57.9583333333333,-39.2083333333333,NA,TRUE
-45.4583333333333,-0.708333333333329,NA,TRUE
-49.375,-0.208333333333329,NA,TRUE
-49.7083333333333,-29.5416666666667,NA,TRUE
-41.125,-2.375,NA,TRUE
-53.7083333333333,-35.625,NA,TRUE
-59.625,9.04166666666667,NA,TRUE
-44.2083333333333,-1.375,NA,TRUE
-47.7083333333333,-28.625,NA,TRUE
-58.2916666666667,6.95833333333334,NA,TRUE
-57.875,-39.2916666666667,NA,TRUE
-55.875,-36.4583333333333,NA,TRUE
-58.5416666666667,-38.625,NA,TRUE
-48.5416666666667,0.0416666666666714,NA,TRUE
-57.875,-39.625,NA,TRUE
-55.7916666666667,-38.0416666666667,NA,TRUE
-56.7083333333333,-35.125,NA,TRUE
-44.2916666666667,-0.125,NA,TRUE
-58.2916666666667,-40.375,NA,TRUE
-50.375,-31.875,NA,TRUE
-52.2083333333333,-33.375,NA,TRUE
-54.9583333333333,6.70833333333334,NA,TRUE
-45.4583333333333,-0.875,NA,TRUE
-52.9583333333333,-34.2916666666667,NA,TRUE
-47.0416666666667,-25.2083333333333,NA,TRUE
-48.375,-28.2916666666667,NA,TRUE
-57.2916666666667,-37.9583333333333,NA,TRUE
-55.4583333333333,6.70833333333334,NA,TRUE
-55.7083333333333,6.45833333333334,NA,TRUE
-54.7916666666667,7.45833333333334,NA,TRUE
-60.9583333333333,10.4583333333333,NA,TRUE
-48.125,0.0416666666666714,NA,TRUE
-56.2916666666667,-36.0416666666667,NA,TRUE
-53.0416666666667,-34.7916666666667,NA,TRUE
-43.5416666666667,-23.7083333333333,NA,TRUE
-44.9583333333333,-0.791666666666664,NA,TRUE
-43.4583333333333,-2.29166666666666,NA,TRUE
