"date_year","scientificNameID","year","scientificName","dropped","aphiaID","decimalLatitude","subclassid","phylumid","familyid","catalogNumber","occurrenceStatus","basisOfRecord","terrestrial","maximumDepthInMeters","id","day","order","dataset_id","decimalLongitude","collectionCode","date_end","speciesid","occurrenceID","date_start","month","genus","bibliographicCitation","eventDate","brackish","absence","subfamily","genusid","originalScientificName","marine","minimumDepthInMeters","subfamilyid","institutionCode","date_mid","class","orderid","kingdom","classid","phylum","species","subclass","family","kingdomid","node_id","sss","depth","shoredistance","sst","bathymetry","fieldNumber","scientificNameAuthorship","identifiedBy","flags","locality","country","county","waterBody","references","modified","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","samplingProtocol","continent","eventTime","geodeticDatum","recordedBy","datasetID","dynamicProperties","individualCount","associatedReferences","stateProvince","preparations"
2000,"urn:lsid:marinespecies.org:taxname:290423","2000","Mussismilia hispida",FALSE,290423,-17.9920005798,1340,1267,196099,"34781","present","HumanObservation",FALSE,7.5,"0126ee6c-24b2-43c2-9f75-5f65110c1d94","22","Scleractinia","47edd06e-212a-4677-9abb-6384a0cac20a",-38.6694984436,"agrra_benthic",953683200000,290423,"32540",953683200000,"3","Mussismilia","Marks, K.W. 2007. AGRRA Database, version (05/2007). Available online http:www.agrra.org/Release_2007-05","2000-03-22T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,7.5,718680,"AGRRA",953683200000,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"8385435b-bcf5-4bec-b827-8b480163d479",37.08,7.5,3092,25.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,"urn:lsid:marinespecies.org:taxname:290423","1999","Mussismilia hispida",FALSE,290423,-17.134,1340,1267,196099,"MNRJ 4610",NA,"PreservedSpecimen",FALSE,NA,"026a275b-92b1-43c9-9481-fc9714ac2a89","06","Scleractinia","300cb5e2-4431-4ec8-af71-8c6078305e50",-36.806,"Cnidaria",928627200000,290423,NA,928627200000,"06","Mussismilia",NA,"1999-06-06T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,NA,718680,"REVIZEE",928627200000,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",37.4,NA,220282,26.72,133,"BAI-D0404","(Verrill, 1902)","Barreira e Castro, C; Pires, D.O.; Medeiros, M.S.; Loiola, L.L.; Arantes, R.C.M.; Thiago, C.M.;Berman, E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"urn:lsid:marinespecies.org:taxname:290423","2003","Mussismilia hispida",FALSE,290423,-23.221,1340,1267,196099,"PCABRS228",NA,"PreservedSpecimen",FALSE,13,"0397e041-5812-40e5-b4eb-390edf22f423","17","Scleractinia","eddee438-1ec9-4e50-83ca-a7ee7bc324cc",-44.558,"Cnidaria",1069027200000,290423,NA,1069027200000,"11","Mussismilia",NA,"2003-11-17T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,13,718680,"MMA/BIO23",1069027200000,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",35.98,13,80,23.72,-1,"4","(Verrill, 1901)","Pires, D.O.; Castro, C.B.; Alvarenga, M.F.; Barros, M.M.L; Ratto, C.C.; Segal, B.",NA,"Ilha Deserta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"urn:lsid:marinespecies.org:taxname:290423","2000","Mussismilia hispida",FALSE,290423,-17.478333,1340,1267,196099,"CSPM500",NA,"HumanObservation",FALSE,18,"03c87104-e2d9-4853-a982-b066b2074a82","26","Scleractinia","7a950cb1-88cc-4401-9368-1495e64586ff",-39.027778,"RAP",951523200000,290423,NA,951523200000,"2","Mussismilia",NA,"2000-02-26T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,7,718680,"CI_BR",951523200000,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",36.95,12.5,11949,25.88,7,"40","(Verrill, 1901) ",NA,NA,"Central Timbebas Reef, Abrolhos National Park","Brazil","Abrolhos","South Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"urn:lsid:marinespecies.org:taxname:290423","2004","Mussismilia hispida",FALSE,290423,-23.048,1340,1267,196099,"PCABRS244",NA,"PreservedSpecimen",FALSE,17,"06b218ef-8f49-4bd4-bdc2-c7bd1fe9d842","23","Scleractinia","eddee438-1ec9-4e50-83ca-a7ee7bc324cc",-44.546,"Cnidaria",1085270400000,290423,NA,1085270400000,"5","Mussismilia",NA,"2004-05-23T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,17,718680,"MMA/BIO23",1085270400000,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",35.97,17,30,23.77,8,"16","(Verrill, 1901)","Pires, D.O.; Castro, C.B.; Alvarenga, M.F.; Barros, M.M.L; Ratto, C.C.; Segal, B.",NA,"Rochedo Sao Pedro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"urn:lsid:marinespecies.org:taxname:290423","2000","Mussismilia hispida",FALSE,290423,-17.875,1340,1267,196099,"CSPM484",NA,"HumanObservation",FALSE,11,"0ad7d83b-21e9-47c5-9fe0-7caa7dff95e0","20","Scleractinia","7a950cb1-88cc-4401-9368-1495e64586ff",-38.979167,"RAP",951004800000,290423,NA,951004800000,"2","Mussismilia",NA,"2000-02-20T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,3,718680,"CI_BR",951004800000,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",36.97,7,24774,25.9,4,"23","(Verrill, 1901) ",NA,NA,"Southern Parcel das Paredes","Brazil","Abrolhos","South Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"urn:lsid:marinespecies.org:taxname:290423","2000","Mussismilia hispida",FALSE,290423,-17.9599990845,1340,1267,196099,"34562","present","HumanObservation",FALSE,4,"0b5e6043-fc59-471e-8243-c9418bbec78a","5","Scleractinia","47edd06e-212a-4677-9abb-6384a0cac20a",-38.7018318176,"agrra_benthic",954892800000,290423,"24002",954892800000,"4","Mussismilia","Marks, K.W. 2007. AGRRA Database, version (05/2007). Available online http:www.agrra.org/Release_2007-05","2000-04-05T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,4,718680,"AGRRA",954892800000,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"8385435b-bcf5-4bec-b827-8b480163d479",37.08,4,86,25.9,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"urn:lsid:marinespecies.org:taxname:290423","2000","Mussismilia hispida",FALSE,290423,-17.988611,1340,1267,196099,"CSPM471",NA,"HumanObservation",FALSE,NA,"0cf6c003-8a7f-4da8-8d24-5f5202a86fe7","13","Scleractinia","7a950cb1-88cc-4401-9368-1495e64586ff",-38.966111,"RAP",9.504e+11,290423,NA,9.504e+11,"2","Mussismilia",NA,"2000-02-13T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,NA,718680,"CI_BR",9.504e+11,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",36.98,NA,25507,25.9,4,"7","(Verrill, 1901) ",NA,NA,"Northern Popa Verde","Brazil","Abrolhos","South Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"urn:lsid:marinespecies.org:taxname:290423","2000","Mussismilia hispida",FALSE,290423,-5.3967,1340,1267,196099,"6",NA,"PreservedSpecimen",FALSE,NA,"10a71755-c886-4b59-9f95-d93d05d587a7",NA,"Scleractinia","49b938b5-2d5a-43c0-92f9-26354f189f82",-35.2773,"UFS",9.62496e+11,290423,NA,9.62496e+11,NA,"Mussismilia",NA,"2000-07-02T00:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,NA,718680,"UFPE",9.62496e+11,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",36.36,NA,3627,27.65,5,NA,"(Verrill, 1901)",NA,NA,"Offshore","Brazil","Maracajau","South Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"urn:lsid:marinespecies.org:taxname:290423","2000","Mussismilia hispida",FALSE,290423,-17.9815006256,1340,1267,196099,"34297","present","HumanObservation",FALSE,5.5,"15043604-b92e-41ac-8462-c320909d3d7f","28","Scleractinia","47edd06e-212a-4677-9abb-6384a0cac20a",-38.6951675415,"agrra_benthic",954201600000,290423,"40290",954201600000,"3","Mussismilia","Marks, K.W. 2007. AGRRA Database, version (05/2007). Available online http:www.agrra.org/Release_2007-05","2000-03-28T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,5,718680,"AGRRA",954201600000,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"8385435b-bcf5-4bec-b827-8b480163d479",37.08,5.25,145,25.9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"urn:lsid:marinespecies.org:taxname:290423","2000","Mussismilia hispida",FALSE,290423,-17.506111,1340,1267,196099,"CSPM498",NA,"HumanObservation",FALSE,13,"17d4b73f-dc64-46ef-a58b-9d75beef252d","26","Scleractinia","7a950cb1-88cc-4401-9368-1495e64586ff",-39.013056,"RAP",951523200000,290423,NA,951523200000,"2","Mussismilia",NA,"2000-02-26T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,3.5,718680,"CI_BR",951523200000,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",36.95,8.25,11149,25.87,10,"38","(Verrill, 1901) ",NA,NA,"Southern Timbebas Reef, Abrolhos National Park","Brazil","Abrolhos","South Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"urn:lsid:marinespecies.org:taxname:290423","2000","Mussismilia hispida",FALSE,290423,-17.906944,1340,1267,196099,"CSPM493",NA,"HumanObservation",FALSE,16,"19c40809-e411-47ff-a54b-35ee0a26f4a4","24","Scleractinia","7a950cb1-88cc-4401-9368-1495e64586ff",-38.690278,"RAP",951350400000,290423,NA,951350400000,"2","Mussismilia",NA,"2000-02-24T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,11,718680,"CI_BR",951350400000,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",37.06,13.5,6025,25.9,5,"33","(Verrill, 1901) ",NA,NA,"North of Abrolhos Archipelago, Abrolhos National Park","Brazil","Abrolhos","South Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"urn:lsid:marinespecies.org:taxname:290423","2003","Mussismilia hispida",FALSE,290423,-23.047,1340,1267,196099,"PCABRS252",NA,"PreservedSpecimen",FALSE,14,"1a204c6a-e83f-45e0-87cf-08d8b87daff5","2","Scleractinia","eddee438-1ec9-4e50-83ca-a7ee7bc324cc",-44.214,"Cnidaria",1070323200000,290423,NA,1070323200000,"12","Mussismilia",NA,"2003-12-02T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,14,718680,"MMA/BIO23",1070323200000,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",36.01,14,53,23.73,-49,"28","(Verrill, 1901)","Pires, D.O.; Castro, C.B.; Alvarenga, M.F.; Barros, M.M.L; Ratto, C.C.; Segal, B.",NA,"Enseada do Itapinhoacanga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"urn:lsid:marinespecies.org:taxname:290423","2000","Mussismilia hispida",FALSE,290423,-16.975278,1340,1267,196099,"CSPM473",NA,"HumanObservation",FALSE,12,"1d7692a5-eadf-4b40-a28c-2da82976dd6d","15","Scleractinia","7a950cb1-88cc-4401-9368-1495e64586ff",-39.071389,"RAP",950572800000,290423,NA,950572800000,"2","Mussismilia",NA,"2000-02-15T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,5,718680,"CI_BR",950572800000,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",36.86,8.5,4899,25.9,6,"11","(Verrill, 1901) ",NA,NA,"Alto de Cumuruxatiba","Brazil","Abrolhos","South Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"urn:lsid:marinespecies.org:taxname:290423","2000","Mussismilia hispida",FALSE,290423,-18.101944,1340,1267,196099,"CSPM492",NA,"HumanObservation",FALSE,25.5,"200b417d-0c2b-4c08-b389-7a9bc5f700d2","23","Scleractinia","7a950cb1-88cc-4401-9368-1495e64586ff",-38.590556,"RAP",9.51264e+11,290423,NA,9.51264e+11,"2","Mussismilia",NA,"2000-02-23T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,9,718680,"CI_BR",9.51264e+11,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",37.11,17.25,17510,25.9,6,"31","(Verrill, 1901) ",NA,NA,"California Reef, Abrolhos National Park","Brazil","Abrolhos","South Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"urn:lsid:marinespecies.org:taxname:290423","2000","Mussismilia hispida",FALSE,290423,-17.955165863,1340,1267,196099,"34992","present","HumanObservation",FALSE,7,"21076a89-8752-4eea-a574-087b85b920fa","24","Scleractinia","47edd06e-212a-4677-9abb-6384a0cac20a",-38.6533317566,"agrra_benthic",9.53856e+11,290423,"15359",9.53856e+11,"3","Mussismilia","Marks, K.W. 2007. AGRRA Database, version (05/2007). Available online http:www.agrra.org/Release_2007-05","2000-03-24T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,7,718680,"AGRRA",9.53856e+11,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"8385435b-bcf5-4bec-b827-8b480163d479",37.1,7,4273,25.9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"urn:lsid:marinespecies.org:taxname:290423","2004","Mussismilia hispida",FALSE,290423,-23.137,1340,1267,196099,"PCABRS265",NA,"PreservedSpecimen",FALSE,27.5,"22adf966-0b3e-4628-8d92-27a251226124","27","Scleractinia","eddee438-1ec9-4e50-83ca-a7ee7bc324cc",-44.326,"Cnidaria",1.085616e+12,290423,NA,1.085616e+12,"5","Mussismilia",NA,"2004-05-27T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,27.5,718680,"MMA/BIO23",1.085616e+12,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",36.02,27.5,69,23.74,-1,"39","(Verrill, 1901)","Pires, D.O.; Castro, C.B.; Alvarenga, M.F.; Barros, M.M.L; Ratto, C.C.; Segal, B.",NA,"Ponta Longa Ilha Grande",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,"urn:lsid:marinespecies.org:taxname:290423","2001","Mussismilia hispida",FALSE,290423,-18.663,1340,1267,196099,"MNRJ 4699",NA,"PreservedSpecimen",FALSE,65,"2a895cc5-f77d-4c3e-90dd-fbd007499f1e","29","Scleractinia","300cb5e2-4431-4ec8-af71-8c6078305e50",-37.87,"Cnidaria",993772800000,290423,NA,993772800000,"06","Mussismilia",NA,"2001-06-29T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,65,718680,"REVIZEE",993772800000,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",37.23,65,115597,26.26,212,"C5-17R","(Verrill, 1902)","Barreira e Castro, C; Pires, D.O.; Medeiros, M.S.; Loiola, L.L.; Arantes, R.C.M.; Thiago, C.M.;Berman, E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"urn:lsid:marinespecies.org:taxname:290423","2000","Mussismilia hispida",FALSE,290423,-17.875,1340,1267,196099,"CSPM483",NA,"HumanObservation",FALSE,6.5,"3452dda1-3b85-45c0-a2b0-bf41a365c598","20","Scleractinia","7a950cb1-88cc-4401-9368-1495e64586ff",-38.979167,"RAP",951004800000,290423,NA,951004800000,"2","Mussismilia",NA,"2000-02-20T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,4,718680,"CI_BR",951004800000,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",36.97,5.25,24774,25.9,4,"22","(Verrill, 1901) ",NA,NA,"Southern Parcel das Paredes","Brazil","Abrolhos","South Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"urn:lsid:marinespecies.org:taxname:290423","2003","Mussismilia hispida",FALSE,290423,-23.137,1340,1267,196099,"PCABRS264",NA,"PreservedSpecimen",FALSE,27.5,"35006633-d22e-4ef0-8892-8d6f0e9f1a36","6","Scleractinia","eddee438-1ec9-4e50-83ca-a7ee7bc324cc",-44.326,"Cnidaria",1070668800000,290423,NA,1070668800000,"12","Mussismilia",NA,"2003-12-06T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,27.5,718680,"MMA/BIO23",1070668800000,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",36.02,27.5,69,23.74,-1,"39","(Verrill, 1901)","Pires, D.O.; Castro, C.B.; Alvarenga, M.F.; Barros, M.M.L; Ratto, C.C.; Segal, B.",NA,"Ponta Longa Ilha Grande",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"urn:lsid:marinespecies.org:taxname:290423","2000","Mussismilia hispida",FALSE,290423,-17.955,1340,1267,196099,"CSPM470",NA,"HumanObservation",FALSE,5.7,"383fc346-1999-4335-b2bb-6ce91f7b4d10","13","Scleractinia","7a950cb1-88cc-4401-9368-1495e64586ff",-39.218611,"RAP",9.504e+11,290423,NA,9.504e+11,"2","Mussismilia",NA,"2000-02-13T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,1.5,718680,"CI_BR",9.504e+11,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",36.93,3.6,1713,25.9,10,"6","(Verrill, 1901) ",NA,NA,"Coroa Vermelha Reef","Brazil","Abrolhos","South Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"urn:lsid:marinespecies.org:taxname:290423","2003","Mussismilia hispida",FALSE,290423,-23.079,1340,1267,196099,"PCABRS254",NA,"PreservedSpecimen",FALSE,19,"3a7a7b45-2050-43c5-8dac-11e1c9cdaf53","1","Scleractinia","eddee438-1ec9-4e50-83ca-a7ee7bc324cc",-44.225,"Cnidaria",1070236800000,290423,NA,1070236800000,"12","Mussismilia",NA,"2003-12-01T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,19,718680,"MMA/BIO23",1070236800000,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",36.01,19,262,23.73,35,"30","(Verrill, 1901)","Pires, D.O.; Castro, C.B.; Alvarenga, M.F.; Barros, M.M.L; Ratto, C.C.; Segal, B.",NA,"Ilha de Macacos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"urn:lsid:marinespecies.org:taxname:290423","2000","Mussismilia hispida",FALSE,290423,-17.9920005798,1340,1267,196099,"34778","present","HumanObservation",FALSE,7,"3deea058-17cf-457d-9ef4-867c41b6a120","22","Scleractinia","47edd06e-212a-4677-9abb-6384a0cac20a",-38.6694984436,"agrra_benthic",953683200000,290423,"16969",953683200000,"3","Mussismilia","Marks, K.W. 2007. AGRRA Database, version (05/2007). Available online http:www.agrra.org/Release_2007-05","2000-03-22T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,7,718680,"AGRRA",953683200000,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"8385435b-bcf5-4bec-b827-8b480163d479",37.08,7,3092,25.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"urn:lsid:marinespecies.org:taxname:290423","2000","Mussismilia hispida",FALSE,290423,-17.9920005798,1340,1267,196099,"34785","present","HumanObservation",FALSE,7.5,"3fb6e393-2432-4b34-8717-b0e442633bf2","22","Scleractinia","47edd06e-212a-4677-9abb-6384a0cac20a",-38.6694984436,"agrra_benthic",953683200000,290423,"5925",953683200000,"3","Mussismilia","Marks, K.W. 2007. AGRRA Database, version (05/2007). Available online http:www.agrra.org/Release_2007-05","2000-03-22T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,7.5,718680,"AGRRA",953683200000,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"8385435b-bcf5-4bec-b827-8b480163d479",37.08,7.5,3092,25.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"urn:lsid:marinespecies.org:taxname:290423","2003","Mussismilia hispida",FALSE,290423,-23.272,1340,1267,196099,"PCABRS230",NA,"PreservedSpecimen",FALSE,6,"41c79312-b158-4a60-91f9-9ded8052d717","14","Scleractinia","eddee438-1ec9-4e50-83ca-a7ee7bc324cc",-44.631,"Cnidaria",1.068768e+12,290423,NA,1.068768e+12,"11","Mussismilia",NA,"2003-11-14T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,6,718680,"MMA/BIO23",1.068768e+12,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",36.03,6,56,23.65,-9,"6","(Verrill, 1901)","Pires, D.O.; Castro, C.B.; Alvarenga, M.F.; Barros, M.M.L; Ratto, C.C.; Segal, B.",NA,"Saco do Mamangua (Ilha Maranata)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
